request_id,department,planning_type,preferred_day,corridor_id,subsection_id,work_area_id,from_station,to_station,asset_id,asset_type,maintenance_type,issue,severity,criticality,urgency,overdue_days,estimated_duration_hours,safety_risk,operational_impact,request_status,planning_cycle,request_source,deadline_day,controller_status,approval_required
REQ-00019,Engineering,NORMAL,Sunday,C01,C01-S04,C01-WA04,ST01,ST02,ENG-00126,Bridge,Rail Renewal,Track geometry deviation,3,55,LOW,7,1.5,15,31,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00020,Engineering,NORMAL,Friday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00139,Rail,Track Inspection,Joint/weld defect,4,44,MEDIUM,2,2.5,32,46,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00021,Engineering,NORMAL,Wednesday,C04,C04-S03,C04-WA03,ST04,ST05,ENG-00111,Turnout,Sleeper Replacement,Track geometry deviation,4,90,NORMAL,1,2.0,59,25,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00022,Engineering,NORMAL,Thursday,C04,C04-S02,C04-WA02,ST04,ST05,ENG-00101,Sleeper,Track Inspection,Ballast condition,4,93,LOW,2,2.5,62,44,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00023,Engineering,NORMAL,Friday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00095,Sleeper,Track Inspection,Ballast condition,5,54,LOW,0,1.5,31,65,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00024,Engineering,NORMAL,Thursday,C02,C02-S04,C02-WA04,ST02,ST03,ENG-00032,Turnout,Rail Renewal,Turnout defect,3,32,MEDIUM,5,4.0,23,54,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00025,Engineering,NORMAL,Sunday,C04,C04-S03,C04-WA03,ST04,ST05,ENG-00083,Sleeper,Track Inspection,Ballast condition,2,53,LOW,3,3.5,38,27,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00026,Engineering,NORMAL,Tuesday,C02,C02-S04,C02-WA04,ST02,ST03,ENG-00046,Bridge,Track Maintenance,Joint/weld defect,3,58,LOW,1,3.5,58,41,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00027,Engineering,NORMAL,Wednesday,C01,C01-S02,C01-WA02,ST01,ST02,ENG-00010,Turnout,Turnout Maintenance,Rail wear,4,54,MEDIUM,0,1.0,66,74,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00028,Engineering,NORMAL,Monday,C03,C03-S02,C03-WA02,ST03,ST04,ENG-00123,Rail,Sleeper Replacement,Rail wear,5,21,MEDIUM,7,2.5,10,90,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00029,Engineering,URGENT,Tuesday,C01,C01-S01,C01-WA01,ST01,ST02,ENG-00115,Bridge,Bridge Inspection,Track geometry deviation,5,36,HIGH,10,1.5,10,26,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00030,Engineering,NORMAL,Saturday,C03,C03-S03,C03-WA03,ST03,ST04,ENG-00104,Turnout,Turnout Maintenance,Turnout defect,2,57,MEDIUM,0,3.5,17,27,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00031,Engineering,NORMAL,Friday,C04,C04-S03,C04-WA03,ST04,ST05,ENG-00037,Rail,Rail Renewal,Ballast condition,3,64,LOW,5,1.0,49,52,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00032,Engineering,NORMAL,Tuesday,C01,C01-S02,C01-WA02,ST01,ST02,ENG-00161,Sleeper,Rail Renewal,Track geometry deviation,1,50,NORMAL,0,2.5,37,44,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00033,Engineering,NORMAL,Saturday,C01,C01-S04,C01-WA04,ST01,ST02,ENG-00083,Bridge,Bridge Inspection,Ballast condition,4,58,LOW,1,1.0,19,58,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00034,Engineering,NORMAL,Tuesday,C02,C02-S03,C02-WA03,ST02,ST03,ENG-00060,Bridge,Turnout Maintenance,Turnout defect,1,40,NORMAL,0,4.0,49,89,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00035,Engineering,NORMAL,Monday,C02,C02-S04,C02-WA04,ST02,ST03,ENG-00078,Track,Turnout Maintenance,Ballast condition,2,62,NORMAL,1,4.0,53,39,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00036,Engineering,URGENT,Monday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00115,Turnout,Track Inspection,Turnout defect,4,60,HIGH,1,1.0,20,55,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00037,Engineering,NORMAL,Thursday,C01,C01-S04,C01-WA04,ST01,ST02,ENG-00039,Sleeper,Sleeper Replacement,Rail wear,3,25,NORMAL,0,4.0,10,71,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00038,Engineering,URGENT,Monday,C01,C01-S02,C01-WA02,ST01,ST02,ENG-00136,Track,Turnout Maintenance,Turnout defect,3,81,HIGH,2,3.0,55,68,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00039,Engineering,NORMAL,Tuesday,C02,C02-S04,C02-WA04,ST02,ST03,ENG-00048,Bridge,Track Inspection,Turnout defect,4,50,NORMAL,5,3.5,10,45,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00040,Engineering,NORMAL,Wednesday,C03,C03-S01,C03-WA01,ST03,ST04,ENG-00163,Rail,Bridge Inspection,Track geometry deviation,4,61,NORMAL,0,1.0,10,42,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00041,Engineering,NORMAL,Wednesday,C02,C02-S02,C02-WA02,ST02,ST03,ENG-00120,Rail,Turnout Maintenance,Joint/weld defect,3,42,MEDIUM,0,2.5,57,58,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00042,Engineering,URGENT,Thursday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00163,Bridge,Track Inspection,Joint/weld defect,4,91,HIGH,1,2.0,72,48,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00043,Engineering,URGENT,Tuesday,C01,C01-S04,C01-WA04,ST01,ST02,ENG-00077,Sleeper,Track Inspection,Track geometry deviation,1,10,HIGH,3,2.5,10,77,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00044,Engineering,NORMAL,Saturday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00050,Bridge,Sleeper Replacement,Joint/weld defect,3,35,NORMAL,0,1.0,27,87,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00045,Engineering,URGENT,Tuesday,C02,C02-S02,C02-WA02,ST02,ST03,ENG-00052,Rail,Sleeper Replacement,Track geometry deviation,4,53,HIGH,5,3.0,59,82,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00046,Engineering,NORMAL,Monday,C02,C02-S02,C02-WA02,ST02,ST03,ENG-00177,Track,Sleeper Replacement,Joint/weld defect,1,65,NORMAL,3,2.0,27,61,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00047,Engineering,NORMAL,Monday,C04,C04-S01,C04-WA01,ST04,ST05,ENG-00133,Rail,Bridge Inspection,Turnout defect,3,65,LOW,5,1.0,47,68,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00048,Engineering,NORMAL,Monday,C01,C01-S04,C01-WA04,ST01,ST02,ENG-00070,Sleeper,Rail Renewal,Sleeper deterioration,4,90,NORMAL,7,3.5,71,63,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00049,Engineering,URGENT,Saturday,C03,C03-S02,C03-WA02,ST03,ST04,ENG-00023,Turnout,Turnout Maintenance,Track geometry deviation,2,48,HIGH,1,3.0,35,23,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00050,Engineering,NORMAL,Saturday,C01,C01-S03,C01-WA03,ST01,ST02,ENG-00124,Turnout,Turnout Maintenance,Ballast condition,4,48,NORMAL,0,4.0,33,44,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00051,Engineering,NORMAL,Tuesday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00136,Sleeper,Track Inspection,Turnout defect,4,32,NORMAL,14,1.5,10,78,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00052,Engineering,NORMAL,Monday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00133,Sleeper,Track Inspection,Track geometry deviation,3,27,LOW,2,2.0,27,88,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00053,Engineering,NORMAL,Friday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00114,Bridge,Track Inspection,Rail wear,3,54,NORMAL,1,1.5,47,44,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00054,Engineering,NORMAL,Friday,C01,C01-S01,C01-WA01,ST01,ST02,ENG-00053,Sleeper,Rail Renewal,Rail wear,2,34,MEDIUM,10,4.0,21,10,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00055,Engineering,NORMAL,Wednesday,C01,C01-S04,C01-WA04,ST01,ST02,ENG-00058,Track,Track Inspection,Rail wear,4,60,LOW,5,3.5,68,16,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00056,Engineering,URGENT,Thursday,C04,C04-S02,C04-WA02,ST04,ST05,ENG-00095,Bridge,Track Maintenance,Joint/weld defect,2,36,HIGH,0,3.0,35,41,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00057,Engineering,NORMAL,Tuesday,C02,C02-S03,C02-WA03,ST02,ST03,ENG-00162,Rail,Track Inspection,Joint/weld defect,3,45,NORMAL,2,1.5,28,10,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00058,Engineering,NORMAL,Wednesday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00012,Sleeper,Rail Renewal,Ballast condition,2,64,NORMAL,0,2.5,29,29,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00059,Engineering,NORMAL,Friday,C04,C04-S03,C04-WA03,ST04,ST05,ENG-00143,Rail,Bridge Inspection,Turnout defect,3,38,NORMAL,0,2.5,80,49,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00060,Engineering,URGENT,Thursday,C02,C02-S02,C02-WA02,ST02,ST03,ENG-00124,Bridge,Track Maintenance,Sleeper deterioration,3,70,HIGH,1,1.5,91,55,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00061,Engineering,NORMAL,Friday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00119,Bridge,Bridge Inspection,Ballast condition,5,64,NORMAL,2,2.0,68,78,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00062,Engineering,NORMAL,Monday,C03,C03-S01,C03-WA01,ST03,ST04,ENG-00017,Bridge,Rail Renewal,Sleeper deterioration,3,51,MEDIUM,3,3.0,39,54,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00063,Engineering,NORMAL,Friday,C04,C04-S01,C04-WA01,ST04,ST05,ENG-00161,Sleeper,Rail Renewal,Rail wear,3,52,NORMAL,0,3.0,10,100,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00064,Engineering,NORMAL,Friday,C03,C03-S01,C03-WA01,ST03,ST04,ENG-00009,Bridge,Track Inspection,Turnout defect,2,40,MEDIUM,0,3.5,64,53,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00065,Engineering,URGENT,Saturday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00142,Sleeper,Turnout Maintenance,Sleeper deterioration,3,61,HIGH,14,2.5,71,59,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00066,Engineering,NORMAL,Wednesday,C01,C01-S03,C01-WA03,ST01,ST02,ENG-00116,Turnout,Sleeper Replacement,Turnout defect,4,60,LOW,1,1.0,24,63,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00067,Engineering,NORMAL,Friday,C02,C02-S02,C02-WA02,ST02,ST03,ENG-00080,Sleeper,Track Inspection,Track geometry deviation,3,24,NORMAL,0,2.0,10,41,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00068,Engineering,NORMAL,Friday,C01,C01-S01,C01-WA01,ST01,ST02,ENG-00049,Bridge,Turnout Maintenance,Joint/weld defect,3,100,LOW,0,2.5,89,84,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00069,Engineering,NORMAL,Thursday,C02,C02-S02,C02-WA02,ST02,ST03,ENG-00095,Turnout,Track Inspection,Joint/weld defect,3,66,NORMAL,10,1.5,50,41,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00070,Engineering,URGENT,Saturday,C01,C01-S02,C01-WA02,ST01,ST02,ENG-00008,Bridge,Sleeper Replacement,Joint/weld defect,2,20,HIGH,3,2.5,13,69,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00071,Engineering,NORMAL,Tuesday,C03,C03-S04,C03-WA04,ST03,ST04,ENG-00037,Track,Rail Renewal,Ballast condition,4,93,NORMAL,0,1.0,48,48,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00072,Engineering,NORMAL,Saturday,C02,C02-S02,C02-WA02,ST02,ST03,ENG-00098,Track,Rail Renewal,Sleeper deterioration,3,63,NORMAL,2,2.0,60,40,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00073,Engineering,NORMAL,Wednesday,C04,C04-S01,C04-WA01,ST04,ST05,ENG-00122,Sleeper,Sleeper Replacement,Rail wear,3,100,NORMAL,0,1.5,95,25,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00074,Engineering,NORMAL,Wednesday,C01,C01-S03,C01-WA03,ST01,ST02,ENG-00012,Sleeper,Turnout Maintenance,Ballast condition,2,82,LOW,5,3.5,100,54,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00075,Engineering,URGENT,Wednesday,C03,C03-S02,C03-WA02,ST03,ST04,ENG-00116,Rail,Sleeper Replacement,Ballast condition,2,39,HIGH,0,2.0,29,59,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00076,Engineering,NORMAL,Sunday,C02,C02-S04,C02-WA04,ST02,ST03,ENG-00126,Bridge,Bridge Inspection,Turnout defect,4,100,NORMAL,3,2.0,59,44,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00077,Engineering,NORMAL,Monday,C03,C03-S02,C03-WA02,ST03,ST04,ENG-00169,Track,Track Maintenance,Track geometry deviation,2,50,LOW,14,2.5,44,46,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00078,Engineering,NORMAL,Monday,C03,C03-S04,C03-WA04,ST03,ST04,ENG-00071,Bridge,Turnout Maintenance,Rail wear,2,37,NORMAL,2,2.0,10,36,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00079,Engineering,NORMAL,Friday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00081,Sleeper,Rail Renewal,Ballast condition,4,92,NORMAL,0,1.0,36,71,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00080,Engineering,NORMAL,Saturday,C04,C04-S01,C04-WA01,ST04,ST05,ENG-00058,Rail,Sleeper Replacement,Track geometry deviation,3,71,NORMAL,2,3.5,40,40,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00081,Engineering,NORMAL,Sunday,C01,C01-S04,C01-WA04,ST01,ST02,ENG-00066,Bridge,Bridge Inspection,Ballast condition,3,65,MEDIUM,0,3.0,39,67,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00082,Engineering,NORMAL,Saturday,C03,C03-S02,C03-WA02,ST03,ST04,ENG-00002,Rail,Turnout Maintenance,Sleeper deterioration,3,65,MEDIUM,0,3.5,36,73,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00083,Engineering,NORMAL,Friday,C04,C04-S01,C04-WA01,ST04,ST05,ENG-00170,Turnout,Turnout Maintenance,Track geometry deviation,2,58,NORMAL,2,4.0,58,64,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00084,Engineering,NORMAL,Sunday,C01,C01-S02,C01-WA02,ST01,ST02,ENG-00030,Track,Track Inspection,Track geometry deviation,3,30,NORMAL,1,2.0,34,59,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00085,Engineering,NORMAL,Wednesday,C03,C03-S01,C03-WA01,ST03,ST04,ENG-00156,Rail,Bridge Inspection,Track geometry deviation,3,63,NORMAL,2,2.5,44,65,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00086,Engineering,URGENT,Saturday,C01,C01-S01,C01-WA01,ST01,ST02,ENG-00047,Rail,Track Inspection,Turnout defect,2,53,HIGH,1,3.5,39,49,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00087,Engineering,NORMAL,Wednesday,C03,C03-S01,C03-WA01,ST03,ST04,ENG-00110,Rail,Sleeper Replacement,Sleeper deterioration,4,64,MEDIUM,0,1.5,73,29,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00088,Engineering,NORMAL,Wednesday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00096,Track,Turnout Maintenance,Rail wear,2,71,LOW,1,2.0,60,85,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00089,Engineering,NORMAL,Thursday,C01,C01-S01,C01-WA01,ST01,ST02,ENG-00001,Bridge,Track Maintenance,Track geometry deviation,3,79,LOW,0,1.0,68,72,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00090,Engineering,URGENT,Thursday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00060,Rail,Sleeper Replacement,Ballast condition,3,69,HIGH,0,1.0,51,61,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00091,Engineering,NORMAL,Friday,C03,C03-S01,C03-WA01,ST03,ST04,ENG-00051,Sleeper,Sleeper Replacement,Turnout defect,5,42,LOW,0,2.5,36,39,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00092,Engineering,NORMAL,Sunday,C04,C04-S02,C04-WA02,ST04,ST05,ENG-00167,Track,Bridge Inspection,Sleeper deterioration,1,45,NORMAL,0,4.0,40,100,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00093,Engineering,NORMAL,Friday,C03,C03-S04,C03-WA04,ST03,ST04,ENG-00071,Turnout,Turnout Maintenance,Track geometry deviation,3,100,NORMAL,0,3.0,72,56,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00094,Engineering,URGENT,Thursday,C03,C03-S01,C03-WA01,ST03,ST04,ENG-00111,Track,Rail Renewal,Sleeper deterioration,3,28,HIGH,5,1.0,10,26,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00095,Engineering,NORMAL,Friday,C04,C04-S03,C04-WA03,ST04,ST05,ENG-00060,Sleeper,Track Maintenance,Ballast condition,3,77,LOW,14,2.0,62,100,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00096,Engineering,URGENT,Monday,C01,C01-S03,C01-WA03,ST01,ST02,ENG-00131,Rail,Bridge Inspection,Rail wear,5,37,HIGH,1,4.0,31,33,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00097,Engineering,NORMAL,Monday,C02,C02-S04,C02-WA04,ST02,ST03,ENG-00083,Rail,Turnout Maintenance,Track geometry deviation,5,70,NORMAL,10,2.5,37,55,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00098,Engineering,NORMAL,Thursday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00167,Track,Sleeper Replacement,Ballast condition,3,27,LOW,2,3.0,25,34,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00099,Engineering,NORMAL,Monday,C04,C04-S01,C04-WA01,ST04,ST05,ENG-00080,Turnout,Track Maintenance,Ballast condition,3,74,NORMAL,2,2.0,41,33,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
