asset_id,department,asset_type,component_type,corridor_id,subsection_id,work_area_id,from_station,to_station,asset_status,criticality_class,typical_issue
ENG-00042,Engineering,Track,Rail,C01,C01-S04,C01-WA04,ST01,ST02,MONITORING,MEDIUM,Rail defect / wear
ENG-00043,Engineering,Track,Rail,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,LOW,Rail defect / wear
ENG-00044,Engineering,Track,Sleeper,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00045,Engineering,Track,Sleeper,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00046,Engineering,Bridge,Bridge Structure,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,CRITICAL,Bridge inspection
ENG-00047,Engineering,Track,Ballast,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,LOW,Ballast condition
ENG-00048,Engineering,Track,Rail,C02,C02-S02,C02-WA02,ST02,ST03,IN_SERVICE,LOW,Rail defect / wear
ENG-00049,Engineering,Track,Rail,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,CRITICAL,Rail defect / wear
ENG-00050,Engineering,Bridge,Bridge Structure,C03,C03-S02,C03-WA02,ST03,ST04,IN_SERVICE,LOW,Bridge inspection
ENG-00051,Engineering,Bridge,Bridge Structure,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,LOW,Bridge inspection
ENG-00052,Engineering,Track,Rail,C04,C04-S04,C04-WA04,ST04,ST05,MONITORING,LOW,Rail defect / wear
ENG-00053,Engineering,Track,Ballast,C03,C03-S03,C03-WA03,ST03,ST04,IN_SERVICE,MEDIUM,Ballast condition
ENG-00054,Engineering,Track,Turnout,C03,C03-S02,C03-WA02,ST03,ST04,IN_SERVICE,MEDIUM,Turnout defect
ENG-00055,Engineering,Track,Ballast,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,MEDIUM,Ballast condition
ENG-00056,Engineering,Track,Sleeper,C02,C02-S04,C02-WA04,ST02,ST03,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00057,Engineering,Bridge,Bridge Structure,C04,C04-S04,C04-WA04,ST04,ST05,MONITORING,MEDIUM,Bridge inspection
ENG-00058,Engineering,Track,Rail,C02,C02-S03,C02-WA03,ST02,ST03,MONITORING,CRITICAL,Rail defect / wear
ENG-00059,Engineering,Track,Turnout,C04,C04-S01,C04-WA01,ST04,ST05,MONITORING,CRITICAL,Turnout defect
ENG-00060,Engineering,Track,Turnout,C01,C01-S02,C01-WA02,ST01,ST02,IN_SERVICE,MEDIUM,Turnout defect
ENG-00061,Engineering,Track,Ballast,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,HIGH,Ballast condition
ENG-00062,Engineering,Track,Sleeper,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00063,Engineering,Track,Ballast,C04,C04-S03,C04-WA03,ST04,ST05,MONITORING,MEDIUM,Ballast condition
ENG-00064,Engineering,Track,Turnout,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,CRITICAL,Turnout defect
ENG-00065,Engineering,Track,Ballast,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,HIGH,Ballast condition
ENG-00066,Engineering,Bridge,Bridge Structure,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,HIGH,Bridge inspection
ENG-00067,Engineering,Track,Turnout,C02,C02-S04,C02-WA04,ST02,ST03,IN_SERVICE,LOW,Turnout defect
ENG-00068,Engineering,Track,Turnout,C02,C02-S04,C02-WA04,ST02,ST03,IN_SERVICE,MEDIUM,Turnout defect
ENG-00069,Engineering,Track,Ballast,C01,C01-S01,C01-WA01,ST01,ST02,MONITORING,CRITICAL,Ballast condition
ENG-00070,Engineering,Bridge,Bridge Structure,C04,C04-S03,C04-WA03,ST04,ST05,MONITORING,MEDIUM,Bridge inspection
ENG-00071,Engineering,Track,Ballast,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,HIGH,Ballast condition
ENG-00072,Engineering,Track,Rail,C04,C04-S02,C04-WA02,ST04,ST05,MONITORING,CRITICAL,Rail defect / wear
ENG-00073,Engineering,Track,Ballast,C04,C04-S02,C04-WA02,ST04,ST05,MONITORING,MEDIUM,Ballast condition
ENG-00074,Engineering,Track,Turnout,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,CRITICAL,Turnout defect
ENG-00075,Engineering,Track,Ballast,C02,C02-S04,C02-WA04,ST02,ST03,MONITORING,HIGH,Ballast condition
ENG-00076,Engineering,Bridge,Bridge Structure,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00077,Engineering,Bridge,Bridge Structure,C02,C02-S02,C02-WA02,ST02,ST03,IN_SERVICE,LOW,Bridge inspection
ENG-00078,Engineering,Bridge,Bridge Structure,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,LOW,Bridge inspection
ENG-00079,Engineering,Track,Turnout,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,LOW,Turnout defect
ENG-00080,Engineering,Track,Turnout,C04,C04-S02,C04-WA02,ST04,ST05,MONITORING,CRITICAL,Turnout defect
ENG-00081,Engineering,Track,Turnout,C01,C01-S04,C01-WA04,ST01,ST02,MONITORING,HIGH,Turnout defect
ENG-00082,Engineering,Bridge,Bridge Structure,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,HIGH,Bridge inspection
ENG-00083,Engineering,Bridge,Bridge Structure,C04,C04-S01,C04-WA01,ST04,ST05,IN_SERVICE,HIGH,Bridge inspection
ENG-00084,Engineering,Bridge,Bridge Structure,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,LOW,Bridge inspection
ENG-00085,Engineering,Track,Turnout,C03,C03-S01,C03-WA01,ST03,ST04,MONITORING,CRITICAL,Turnout defect
ENG-00086,Engineering,Track,Sleeper,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00087,Engineering,Bridge,Bridge Structure,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00088,Engineering,Track,Turnout,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,MEDIUM,Turnout defect
ENG-00089,Engineering,Track,Rail,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,MEDIUM,Rail defect / wear
ENG-00090,Engineering,Track,Turnout,C04,C04-S04,C04-WA04,ST04,ST05,MONITORING,CRITICAL,Turnout defect
ENG-00091,Engineering,Track,Ballast,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,LOW,Ballast condition
ENG-00092,Engineering,Track,Sleeper,C04,C04-S01,C04-WA01,ST04,ST05,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00093,Engineering,Bridge,Bridge Structure,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,HIGH,Bridge inspection
ENG-00094,Engineering,Track,Turnout,C02,C02-S02,C02-WA02,ST02,ST03,IN_SERVICE,LOW,Turnout defect
ENG-00095,Engineering,Track,Rail,C04,C04-S01,C04-WA01,ST04,ST05,MONITORING,MEDIUM,Rail defect / wear
ENG-00096,Engineering,Track,Sleeper,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,HIGH,Sleeper deterioration
ENG-00097,Engineering,Bridge,Bridge Structure,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00098,Engineering,Bridge,Bridge Structure,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,CRITICAL,Bridge inspection
ENG-00099,Engineering,Track,Sleeper,C01,C01-S02,C01-WA02,ST01,ST02,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00100,Engineering,Track,Ballast,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,LOW,Ballast condition
ENG-00101,Engineering,Track,Ballast,C03,C03-S04,C03-WA04,ST03,ST04,IN_SERVICE,LOW,Ballast condition
ENG-00102,Engineering,Track,Sleeper,C01,C01-S02,C01-WA02,ST01,ST02,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00103,Engineering,Track,Sleeper,C02,C02-S03,C02-WA03,ST02,ST03,MONITORING,MEDIUM,Sleeper deterioration
ENG-00104,Engineering,Track,Sleeper,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,LOW,Sleeper deterioration
ENG-00105,Engineering,Track,Ballast,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,MEDIUM,Ballast condition
ENG-00106,Engineering,Bridge,Bridge Structure,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00107,Engineering,Track,Sleeper,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00108,Engineering,Track,Turnout,C04,C04-S04,C04-WA04,ST04,ST05,MONITORING,CRITICAL,Turnout defect
ENG-00109,Engineering,Track,Ballast,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,HIGH,Ballast condition
ENG-00110,Engineering,Track,Rail,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,HIGH,Rail defect / wear
ENG-00111,Engineering,Track,Ballast,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,CRITICAL,Ballast condition
ENG-00112,Engineering,Bridge,Bridge Structure,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00113,Engineering,Track,Turnout,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,HIGH,Turnout defect
ENG-00114,Engineering,Track,Sleeper,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,HIGH,Sleeper deterioration
ENG-00115,Engineering,Track,Rail,C01,C01-S02,C01-WA02,ST01,ST02,MONITORING,HIGH,Rail defect / wear
ENG-00116,Engineering,Track,Sleeper,C03,C03-S03,C03-WA03,ST03,ST04,IN_SERVICE,HIGH,Sleeper deterioration
ENG-00117,Engineering,Bridge,Bridge Structure,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,CRITICAL,Bridge inspection
ENG-00118,Engineering,Bridge,Bridge Structure,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,HIGH,Bridge inspection
ENG-00119,Engineering,Track,Rail,C01,C01-S02,C01-WA02,ST01,ST02,IN_SERVICE,LOW,Rail defect / wear
ENG-00120,Engineering,Track,Sleeper,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00121,Engineering,Track,Ballast,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,CRITICAL,Ballast condition
ENG-00122,Engineering,Track,Sleeper,C01,C01-S02,C01-WA02,ST01,ST02,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00123,Engineering,Track,Rail,C03,C03-S04,C03-WA04,ST03,ST04,IN_SERVICE,CRITICAL,Rail defect / wear
ENG-00124,Engineering,Track,Sleeper,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,HIGH,Sleeper deterioration
ENG-00125,Engineering,Track,Sleeper,C03,C03-S03,C03-WA03,ST03,ST04,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00126,Engineering,Track,Turnout,C04,C04-S03,C04-WA03,ST04,ST05,IN_SERVICE,LOW,Turnout defect
ENG-00127,Engineering,Track,Turnout,C02,C02-S02,C02-WA02,ST02,ST03,MONITORING,HIGH,Turnout defect
ENG-00128,Engineering,Track,Sleeper,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00129,Engineering,Track,Ballast,C01,C01-S03,C01-WA03,ST01,ST02,MONITORING,LOW,Ballast condition
ENG-00130,Engineering,Track,Turnout,C04,C04-S01,C04-WA01,ST04,ST05,IN_SERVICE,CRITICAL,Turnout defect
ENG-00131,Engineering,Track,Rail,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,LOW,Rail defect / wear
ENG-00132,Engineering,Track,Rail,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,CRITICAL,Rail defect / wear
ENG-00133,Engineering,Track,Ballast,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,MEDIUM,Ballast condition
ENG-00134,Engineering,Track,Sleeper,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00135,Engineering,Track,Sleeper,C02,C02-S04,C02-WA04,ST02,ST03,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00136,Engineering,Track,Rail,C02,C02-S04,C02-WA04,ST02,ST03,IN_SERVICE,HIGH,Rail defect / wear
ENG-00137,Engineering,Track,Sleeper,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,HIGH,Sleeper deterioration
ENG-00138,Engineering,Track,Rail,C01,C01-S02,C01-WA02,ST01,ST02,MONITORING,MEDIUM,Rail defect / wear
ENG-00139,Engineering,Track,Sleeper,C03,C03-S02,C03-WA02,ST03,ST04,MONITORING,MEDIUM,Sleeper deterioration
ENG-00140,Engineering,Track,Rail,C02,C02-S02,C02-WA02,ST02,ST03,IN_SERVICE,HIGH,Rail defect / wear
ENG-00141,Engineering,Track,Rail,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,CRITICAL,Rail defect / wear
ENG-00142,Engineering,Track,Sleeper,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,HIGH,Sleeper deterioration
ENG-00143,Engineering,Track,Turnout,C04,C04-S01,C04-WA01,ST04,ST05,IN_SERVICE,CRITICAL,Turnout defect
ENG-00144,Engineering,Bridge,Bridge Structure,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,LOW,Bridge inspection
ENG-00145,Engineering,Track,Sleeper,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,LOW,Sleeper deterioration
ENG-00146,Engineering,Track,Sleeper,C03,C03-S03,C03-WA03,ST03,ST04,MONITORING,CRITICAL,Sleeper deterioration
ENG-00147,Engineering,Track,Sleeper,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,LOW,Sleeper deterioration
ENG-00148,Engineering,Bridge,Bridge Structure,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,LOW,Bridge inspection
ENG-00149,Engineering,Track,Turnout,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,MEDIUM,Turnout defect
ENG-00150,Engineering,Track,Sleeper,C03,C03-S02,C03-WA02,ST03,ST04,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00151,Engineering,Track,Rail,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,CRITICAL,Rail defect / wear
ENG-00152,Engineering,Track,Ballast,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,LOW,Ballast condition
ENG-00153,Engineering,Track,Ballast,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,LOW,Ballast condition
ENG-00154,Engineering,Track,Ballast,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,LOW,Ballast condition
ENG-00155,Engineering,Track,Turnout,C03,C03-S02,C03-WA02,ST03,ST04,IN_SERVICE,CRITICAL,Turnout defect
ENG-00156,Engineering,Bridge,Bridge Structure,C04,C04-S01,C04-WA01,ST04,ST05,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00157,Engineering,Track,Sleeper,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00158,Engineering,Bridge,Bridge Structure,C01,C01-S04,C01-WA04,ST01,ST02,MONITORING,MEDIUM,Bridge inspection
ENG-00159,Engineering,Bridge,Bridge Structure,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,CRITICAL,Bridge inspection
ENG-00160,Engineering,Track,Rail,C03,C03-S03,C03-WA03,ST03,ST04,MONITORING,HIGH,Rail defect / wear
ENG-00161,Engineering,Track,Sleeper,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,LOW,Sleeper deterioration
ENG-00162,Engineering,Track,Turnout,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,MEDIUM,Turnout defect
ENG-00163,Engineering,Track,Turnout,C03,C03-S04,C03-WA04,ST03,ST04,IN_SERVICE,LOW,Turnout defect
ENG-00164,Engineering,Track,Ballast,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,MEDIUM,Ballast condition
ENG-00165,Engineering,Track,Rail,C01,C01-S03,C01-WA03,ST01,ST02,MONITORING,LOW,Rail defect / wear
ENG-00166,Engineering,Track,Sleeper,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,LOW,Sleeper deterioration
ENG-00167,Engineering,Track,Rail,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,CRITICAL,Rail defect / wear
ENG-00168,Engineering,Bridge,Bridge Structure,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00169,Engineering,Track,Rail,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,MEDIUM,Rail defect / wear
ENG-00170,Engineering,Track,Ballast,C03,C03-S04,C03-WA04,ST03,ST04,MONITORING,MEDIUM,Ballast condition
ENG-00171,Engineering,Track,Turnout,C03,C03-S03,C03-WA03,ST03,ST04,IN_SERVICE,LOW,Turnout defect
ENG-00172,Engineering,Track,Rail,C01,C01-S02,C01-WA02,ST01,ST02,MONITORING,MEDIUM,Rail defect / wear
ENG-00173,Engineering,Track,Turnout,C04,C04-S03,C04-WA03,ST04,ST05,IN_SERVICE,HIGH,Turnout defect
ENG-00174,Engineering,Bridge,Bridge Structure,C04,C04-S03,C04-WA03,ST04,ST05,IN_SERVICE,CRITICAL,Bridge inspection
ENG-00175,Engineering,Bridge,Bridge Structure,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,CRITICAL,Bridge inspection
ENG-00176,Engineering,Track,Ballast,C02,C02-S03,C02-WA03,ST02,ST03,MONITORING,CRITICAL,Ballast condition
ENG-00177,Engineering,Bridge,Bridge Structure,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00178,Engineering,Bridge,Bridge Structure,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,LOW,Bridge inspection
ENG-00179,Engineering,Track,Rail,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,MEDIUM,Rail defect / wear
ENG-00180,Engineering,Track,Turnout,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,HIGH,Turnout defect
S&T-00181,S&T,Point Machine,Point Machine,C02,C02-S03,C02-WA03,ST02,ST03,IN_SERVICE,MEDIUM,Point machine abnormality
S&T-00182,S&T,Axle Counter,Axle Counter,C04,C04-S03,C04-WA03,ST04,ST05,IN_SERVICE,MEDIUM,Axle counter indication fault
S&T-00183,S&T,Point Machine,Point Machine,C04,C04-S01,C04-WA01,ST04,ST05,IN_SERVICE,CRITICAL,Point machine abnormality
S&T-00184,S&T,Telecom,Communication,C01,C01-S04,C01-WA04,ST01,ST02,MONITORING,CRITICAL,Communication equipment fault
S&T-00185,S&T,Point Machine,Point Machine,C01,C01-S03,C01-WA03,ST01,ST02,MONITORING,MEDIUM,Point machine abnormality
S&T-00186,S&T,Signal,Signal,C04,C04-S03,C04-WA03,ST04,ST05,MONITORING,MEDIUM,Signal aspect fault
S&T-00187,S&T,Signal,Signal,C02,C02-S03,C02-WA03,ST02,ST03,MONITORING,MEDIUM,Signal aspect fault
S&T-00188,S&T,Telecom,Communication,C04,C04-S03,C04-WA03,ST04,ST05,IN_SERVICE,MEDIUM,Communication equipment fault
S&T-00189,S&T,Track Circuit,Track Circuit,C02,C02-S01,C02-WA01,ST02,ST03,IN_SERVICE,CRITICAL,Track circuit intermittent fault
S&T-00190,S&T,Signal,Signal,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,LOW,Signal aspect fault
S&T-00191,S&T,Signal,Signal,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,HIGH,Signal aspect fault
S&T-00192,S&T,Signal,Signal,C01,C01-S04,C01-WA04,ST01,ST02,MONITORING,CRITICAL,Signal aspect fault
S&T-00193,S&T,Signal,Signal,C01,C01-S01,C01-WA01,ST01,ST02,MONITORING,LOW,Signal aspect fault
S&T-00194,S&T,Track Circuit,Track Circuit,C03,C03-S03,C03-WA03,ST03,ST04,MONITORING,CRITICAL,Track circuit intermittent fault
S&T-00195,S&T,Point Machine,Point Machine,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,HIGH,Point machine abnormality
S&T-00196,S&T,Telecom,Communication,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,MEDIUM,Communication equipment fault
S&T-00197,S&T,Track Circuit,Track Circuit,C03,C03-S04,C03-WA04,ST03,ST04,IN_SERVICE,MEDIUM,Track circuit intermittent fault
S&T-00198,S&T,Track Circuit,Track Circuit,C02,C02-S02,C02-WA02,ST02,ST03,IN_SERVICE,CRITICAL,Track circuit intermittent fault
S&T-00199,S&T,Point Machine,Point Machine,C04,C04-S01,C04-WA01,ST04,ST05,MONITORING,CRITICAL,Point machine abnormality
S&T-00200,S&T,Axle Counter,Axle Counter,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,HIGH,Axle counter indication fault
S&T-00201,S&T,Point Machine,Point Machine,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,CRITICAL,Point machine abnormality
S&T-00202,S&T,Signal,Signal,C01,C01-S03,C01-WA03,ST01,ST02,MONITORING,CRITICAL,Signal aspect fault
S&T-00203,S&T,Axle Counter,Axle Counter,C04,C04-S01,C04-WA01,ST04,ST05,IN_SERVICE,CRITICAL,Axle counter indication fault
S&T-00204,S&T,Telecom,Communication,C03,C03-S02,C03-WA02,ST03,ST04,IN_SERVICE,HIGH,Communication equipment fault
