task_id,asset_id,department,asset_type,defect_type,maintenance_type,severity,criticality,overdue_days,estimated_duration_hours,safety_risk,operational_impact,corridor_id,deadline,priority_score,priority_class
M-000068,S&-0006,S&T,Signal,Track Circuit Fault,Preventive,3,29,8,3.0,50,37,C16,2026-08-28,42.25,Medium
M-000069,S&-0063,S&T,Track Circuit,Signal Failure,Inspection,1,66,11,1.5,15,49,C11,2026-08-30,42.4,Medium
M-000070,EN-0128,Engineering,Rail,Sleeper Defect,Corrective,5,73,0,0.5,91,79,C01,2026-08-25,71.95,High
M-000071,TR-0073,Traction,Insulator,Insulator Defect,Inspection,5,61,11,3.0,87,46,C16,2026-08-26,70.85,High
M-000072,TR-0017,Traction,Feeder,Insulator Defect,Corrective,1,46,3,1.5,17,14,C17,2026-08-26,25.55,Low
M-000073,TR-0023,Traction,Feeder,Isolator Defect,Overdue,1,64,11,0.5,15,44,C07,2026-08-30,41.05,Medium
M-000074,EN-0119,Engineering,Sleeper,Rail Crack,Inspection,2,43,0,3.0,35,32,C14,2026-08-31,32.7,Low
M-000075,S&-0106,S&T,Interlocking,Point Machine Degradation,Preventive,4,72,0,0.5,74,82,C03,2026-08-30,64.7,High
M-000076,EN-0157,Engineering,Ballast,Rail Wear,Overdue,1,54,11,0.5,5,32,C04,2026-08-27,34.25,Low
M-000077,TR-0038,Traction,Feeder,Isolator Defect,Inspection,5,21,1,3.0,94,39,C17,2026-08-28,51.7,Medium
M-000078,TR-0043,Traction,Feeder,OHE Wear,Inspection,5,78,4,1.0,84,86,C17,2026-08-30,76.1,High
M-000079,TR-0087,Traction,Isolator,Isolator Defect,Preventive,3,100,13,3.0,53,58,C16,2026-08-29,71.05,High
M-000080,EN-0167,Engineering,Rail,Ballast Defect,Overdue,1,66,5,3.0,18,50,C07,2026-08-27,38.65,Low
M-000081,TR-0117,Traction,OHE,Insulator Defect,Inspection,3,74,8,4.0,46,84,C15,2026-08-30,62.0,High
M-000082,S&-0096,S&T,Interlocking,Point Machine Degradation,Inspection,4,45,12,2.0,59,63,C09,2026-08-31,59.75,Medium
M-000083,TR-0082,Traction,Feeder,Isolator Defect,Inspection,4,79,0,0.5,72,69,C07,2026-08-31,64.45,High
M-000084,TR-0059,Traction,OHE,Insulator Defect,Corrective,1,55,8,4.0,26,34,C19,2026-08-30,36.8,Low
M-000085,TR-0116,Traction,Insulator,Insulator Defect,Corrective,3,29,3,0.5,59,52,C20,2026-08-30,42.55,Medium
M-000086,S&-0094,S&T,Track Circuit,Track Circuit Fault,Corrective,2,56,1,1.0,34,50,C16,2026-08-31,39.85,Low
M-000087,S&-0022,S&T,Point Machine,Signal Failure,Corrective,2,18,0,1.5,52,34,C11,2026-08-30,28.9,Low
M-000088,S&-0027,S&T,Signal,Interlocking Fault,Inspection,5,62,15,0.5,98,73,C17,2026-08-28,80.4,Critical
M-000089,S&-0062,S&T,Interlocking,Interlocking Fault,Inspection,5,28,0,2.0,90,46,C12,2026-08-26,53.3,Medium
M-000090,EN-0132,Engineering,Rail,Rail Crack,Corrective,5,61,18,0.5,95,70,C16,2026-08-30,81.3,Critical
M-000091,TR-0130,Traction,Isolator,Insulator Defect,Corrective,1,47,0,1.0,19,44,C14,2026-08-26,28.5,Low
M-000092,TR-0008,Traction,Insulator,Insulator Defect,Overdue,4,53,16,2.0,70,67,C20,2026-08-31,67.95,High
M-000093,TR-0085,Traction,Insulator,OHE Wear,Overdue,5,68,9,3.0,93,76,C10,2026-08-27,77.15,High
M-000094,EN-0104,Engineering,Track,Sleeper Defect,Overdue,5,69,0,1.5,92,70,C06,2026-08-27,69.6,High
M-000095,EN-0120,Engineering,Ballast,Track Geometry Deviation,Overdue,1,60,8,1.5,18,37,C03,2026-08-26,37.15,Low
M-000096,S&-0096,S&T,Interlocking,Interlocking Fault,Corrective,1,33,20,1.5,5,24,C09,2026-08-29,33.5,Low
M-000097,S&-0079,S&T,Track Circuit,Signal Failure,Corrective,4,57,18,4.0,61,66,C07,2026-08-26,68.7,High
M-000098,TR-0008,Traction,Insulator,Feeder Inspection Overdue,Inspection,3,56,1,1.5,52,55,C20,2026-08-29,48.2,Medium
M-000099,EN-0065,Engineering,Track,Track Geometry Deviation,Inspection,1,63,20,2.0,22,35,C15,2026-08-25,47.55,Medium
M-000100,S&-0076,S&T,Track Circuit,Signal Failure,Inspection,5,62,0,2.0,88,72,C04,2026-08-30,67.0,High
M-000101,S&-0117,S&T,Point Machine,Point Machine Degradation,Corrective,1,75,13,1.0,16,59,C18,2026-08-31,48.3,Medium
M-000102,TR-0024,Traction,Insulator,Isolator Defect,Preventive,2,58,0,2.0,41,52,C08,2026-08-26,41.4,Medium
M-000103,TR-0081,Traction,OHE,OHE Wear,Preventive,3,50,7,1.0,56,49,C06,2026-08-29,50.8,Medium
M-000104,EN-0177,Engineering,Track,Ballast Defect,Preventive,2,71,13,1.5,35,55,C04,2026-08-27,54.3,Medium
M-000105,TR-0061,Traction,Feeder,Feeder Inspection Overdue,Overdue,4,48,9,4.0,71,65,C09,2026-08-29,61.1,High
M-000106,EN-0135,Engineering,Ballast,Rail Crack,Preventive,2,74,4,0.5,31,40,C10,2026-08-26,45.4,Medium
M-000107,TR-0023,Traction,Feeder,OHE Wear,Inspection,1,63,27,2.0,18,48,C07,2026-08-29,48.7,Medium
M-000108,S&-0101,S&T,Signal,Point Machine Degradation,Corrective,1,29,14,4.0,11,18,C17,2026-08-25,28.1,Low
M-000109,EN-0018,Engineering,Rail,Rail Crack,Inspection,3,40,9,1.5,63,37,C07,2026-08-26,48.9,Medium
M-000110,S&-0118,S&T,Track Circuit,Interlocking Fault,Inspection,2,69,10,4.0,44,51,C20,2026-08-31,52.65,Medium
M-000111,S&-0081,S&T,Track Circuit,Track Circuit Fault,Inspection,4,99,0,1.5,77,91,C19,2026-08-28,74.75,High
M-000112,EN-0075,Engineering,Track,Ballast Defect,Corrective,4,64,6,0.5,82,65,C10,2026-08-31,65.85,High
M-000113,S&-0094,S&T,Track Circuit,Track Circuit Fault,Overdue,2,54,21,2.0,33,31,C16,2026-08-29,50.45,Medium
M-000114,TR-0087,Traction,Isolator,Isolator Defect,Inspection,1,90,18,1.5,20,63,C16,2026-08-26,57.95,Medium
M-000115,S&-0029,S&T,Interlocking,Interlocking Fault,Preventive,1,73,10,0.5,10,47,C08,2026-08-31,42.45,Medium
M-000116,TR-0024,Traction,Insulator,Isolator Defect,Inspection,2,57,4,3.0,23,45,C08,2026-08-28,39.45,Low
M-000117,EN-0168,Engineering,Rail,Rail Wear,Overdue,2,33,9,0.5,40,16,C10,2026-08-27,35.05,Low
M-000118,S&-0002,S&T,Point Machine,Signal Failure,Overdue,1,79,0,1.5,18,45,C19,2026-08-29,38.05,Low
M-000119,EN-0132,Engineering,Rail,Track Geometry Deviation,Inspection,4,46,4,1.5,62,56,C16,2026-08-28,53.6,Medium
M-000120,S&-0045,S&T,Track Circuit,Point Machine Degradation,Overdue,4,74,13,0.5,61,78,C19,2026-08-31,71.85,High
M-000121,S&-0009,S&T,Signal,Track Circuit Fault,Overdue,2,66,6,1.0,35,43,C01,2026-08-29,45.75,Medium
M-000122,EN-0007,Engineering,Ballast,Rail Wear,Preventive,2,53,12,3.0,40,42,C15,2026-08-29,47.2,Medium
M-000123,S&-0042,S&T,Interlocking,Track Circuit Fault,Preventive,4,73,13,0.5,65,61,C10,2026-08-26,69.8,High
M-000124,EN-0123,Engineering,Sleeper,Ballast Defect,Inspection,1,77,11,3.0,23,56,C03,2026-08-28,48.35,Medium
M-000125,TR-0059,Traction,OHE,OHE Wear,Corrective,1,56,19,3.0,20,39,C19,2026-08-26,44.9,Medium
M-000126,EN-0066,Engineering,Sleeper,Rail Wear,Inspection,4,52,30,1.5,68,52,C15,2026-08-30,68.0,High
M-000127,EN-0166,Engineering,Sleeper,Rail Wear,Overdue,3,62,4,3.0,40,60,C03,2026-08-29,50.6,Medium
M-000128,TR-0033,Traction,Insulator,Feeder Inspection Overdue,Corrective,3,62,0,0.5,64,52,C16,2026-08-30,51.2,Medium
M-000129,S&-0017,S&T,Signal,Track Circuit Fault,Inspection,2,88,14,2.0,34,52,C14,2026-08-29,59.5,Medium
M-000130,S&-0053,S&T,Interlocking,Point Machine Degradation,Corrective,2,96,4,2.0,40,66,C06,2026-08-29,57.7,Medium
M-000131,EN-0119,Engineering,Sleeper,Ballast Defect,Inspection,2,62,11,3.0,32,37,C14,2026-08-25,46.8,Medium
M-000132,TR-0080,Traction,Isolator,OHE Wear,Corrective,4,82,16,2.0,75,72,C10,2026-08-29,78.4,High
M-000133,S&-0122,S&T,Point Machine,Track Circuit Fault,Preventive,3,82,0,0.5,68,56,C01,2026-08-27,58.6,Medium
M-000134,EN-0094,Engineering,Ballast,Rail Wear,Corrective,1,51,22,3.0,30,32,C19,2026-08-29,45.1,Medium
M-000135,TR-0076,Traction,OHE,Isolator Defect,Overdue,3,41,6,0.5,60,43,C02,2026-08-25,47.25,Medium
M-000136,TR-0060,Traction,OHE,OHE Wear,Overdue,4,32,6,4.0,50,38,C15,2026-08-27,45.8,Medium
M-000137,TR-0073,Traction,Insulator,OHE Wear,Overdue,1,57,11,3.0,13,36,C16,2026-08-27,37.35,Low
M-000138,S&-0048,S&T,Interlocking,Signal Failure,Inspection,4,74,2,2.0,84,66,C07,2026-08-28,66.4,High
M-000139,TR-0047,Traction,Insulator,Insulator Defect,Corrective,5,73,7,1.0,87,81,C11,2026-08-29,76.7,High
M-000140,TR-0028,Traction,Isolator,Insulator Defect,Corrective,3,47,0,1.0,52,40,C09,2026-08-28,42.5,Medium
M-000141,EN-0113,Engineering,Rail,Track Geometry Deviation,Overdue,3,73,12,0.5,52,50,C08,2026-08-28,60.8,High
M-000142,S&-0137,S&T,Interlocking,Interlocking Fault,Corrective,1,75,22,1.5,17,70,C15,2026-08-25,55.4,Medium
M-000143,EN-0162,Engineering,Rail,Track Geometry Deviation,Inspection,1,84,12,1.0,15,53,C15,2026-08-26,49.15,Medium
M-000144,TR-0015,Traction,Insulator,Feeder Inspection Overdue,Corrective,1,51,8,0.5,8,40,C15,2026-08-30,32.9,Low
M-000145,EN-0051,Engineering,Sleeper,Track Geometry Deviation,Overdue,1,46,0,0.5,31,34,C11,2026-08-27,29.1,Low
M-000146,S&-0058,S&T,Track Circuit,Signal Failure,Corrective,1,51,0,4.0,7,38,C06,2026-08-28,26.4,Low
M-000147,EN-0032,Engineering,Sleeper,Sleeper Defect,Inspection,1,77,0,4.0,29,51,C13,2026-08-26,40.55,Medium
M-000148,TR-0090,Traction,Feeder,OHE Wear,Inspection,1,47,8,4.0,15,27,C10,2026-08-29,31.15,Low
M-000149,EN-0095,Engineering,Rail,Rail Wear,Preventive,2,46,0,1.5,23,28,C19,2026-08-31,30.6,Low
M-000150,TR-0077,Traction,Insulator,Isolator Defect,Corrective,5,80,10,4.0,77,77,C02,2026-08-25,78.45,High
M-000151,TR-0062,Traction,Insulator,Insulator Defect,Inspection,3,46,0,2.0,42,57,C18,2026-08-26,42.75,Medium
M-000152,EN-0136,Engineering,Sleeper,Track Geometry Deviation,Preventive,3,57,0,3.0,51,47,C09,2026-08-26,46.35,Medium
M-000153,TR-0129,Traction,Insulator,Feeder Inspection Overdue,Inspection,1,52,10,1.5,23,35,C04,2026-08-28,36.95,Low
M-000154,TR-0114,Traction,Isolator,Isolator Defect,Preventive,1,78,0,4.0,9,55,C01,2026-08-30,37.45,Low
M-000155,EN-0115,Engineering,Rail,Rail Crack,Corrective,5,56,11,2.0,93,66,C14,2026-08-27,73.55,High
M-000156,TR-0028,Traction,Isolator,OHE Wear,Corrective,4,48,5,2.0,81,53,C09,2026-08-30,58.3,Medium
M-000157,TR-0083,Traction,OHE,Isolator Defect,Overdue,3,54,7,3.0,73,50,C01,2026-08-26,55.55,Medium
M-000158,EN-0154,Engineering,Rail,Rail Wear,Overdue,2,13,15,1.5,43,16,C17,2026-08-28,34.15,Low
M-000159,S&-0115,S&T,Track Circuit,Point Machine Degradation,Overdue,5,79,18,1.0,88,72,C07,2026-08-31,85.6,Critical
M-000160,TR-0014,Traction,OHE,Isolator Defect,Preventive,4,66,3,1.0,73,66,C10,2026-08-29,62.55,High
M-000161,TR-0048,Traction,Insulator,OHE Wear,Inspection,5,77,10,1.5,95,83,C17,2026-08-25,82.05,Critical
M-000162,TR-0047,Traction,Insulator,Insulator Defect,Preventive,3,64,5,0.5,49,47,C11,2026-08-26,51.8,Medium
M-000163,EN-0133,Engineering,Sleeper,Rail Crack,Overdue,4,57,0,4.0,69,53,C16,2026-08-25,54.85,Medium
M-000164,S&-0123,S&T,Track Circuit,Signal Failure,Overdue,1,53,16,2.0,7,38,C17,2026-08-27,39.0,Low
M-000165,EN-0097,Engineering,Track,Rail Wear,Overdue,3,66,25,2.0,51,61,C15,2026-08-28,66.15,High
M-000166,S&-0032,S&T,Point Machine,Point Machine Degradation,Inspection,2,77,10,4.0,49,57,C08,2026-08-28,56.95,Medium
M-000167,EN-0142,Engineering,Ballast,Ballast Defect,Inspection,2,87,15,2.0,37,64,C02,2026-08-29,62.35,High
M-000168,EN-0160,Engineering,Rail,Rail Wear,Overdue,5,67,0,3.0,95,70,C19,2026-08-27,69.6,High
M-000169,S&-0011,S&T,Point Machine,Track Circuit Fault,Corrective,5,79,4,3.0,84,79,C10,2026-08-30,75.35,High
M-000170,TR-0032,Traction,OHE,OHE Wear,Inspection,4,73,2,0.5,70,67,C18,2026-08-30,63.45,High
M-000171,TR-0022,Traction,Insulator,Isolator Defect,Inspection,4,73,6,0.5,70,68,C08,2026-08-28,66.6,High
M-000172,S&-0012,S&T,Track Circuit,Point Machine Degradation,Corrective,2,70,11,3.0,39,59,C04,2026-08-28,53.9,Medium
M-000173,TR-0003,Traction,Feeder,Isolator Defect,Preventive,3,56,7,0.5,48,46,C07,2026-08-28,50.55,Medium
M-000174,S&-0108,S&T,Interlocking,Interlocking Fault,Inspection,2,29,1,0.5,18,28,C12,2026-08-27,25.25,Low
M-000175,EN-0180,Engineering,Rail,Sleeper Defect,Inspection,3,20,19,1.0,33,28,C16,2026-08-30,43.05,Medium
M-000176,EN-0058,Engineering,Sleeper,Sleeper Defect,Inspection,3,36,16,4.0,51,49,C05,2026-08-25,52.35,Medium
M-000177,TR-0077,Traction,Insulator,OHE Wear,Overdue,4,71,0,4.0,90,67,C02,2026-08-25,65.35,High
M-000178,TR-0107,Traction,Insulator,Feeder Inspection Overdue,Inspection,3,75,12,4.0,60,65,C16,2026-08-28,65.25,High
M-000179,TR-0099,Traction,Isolator,Feeder Inspection Overdue,Preventive,1,48,9,4.0,15,39,C13,2026-08-25,34.0,Low
M-000180,EN-0042,Engineering,Rail,Sleeper Defect,Preventive,4,30,19,1.0,76,39,C09,2026-08-26,60.3,High
M-000181,TR-0024,Traction,Insulator,OHE Wear,Preventive,4,64,3,1.0,66,57,C08,2026-08-29,59.2,Medium
M-000182,EN-0153,Engineering,Track,Rail Wear,Preventive,1,57,0,1.5,17,46,C12,2026-08-26,31.4,Low
M-000183,TR-0051,Traction,OHE,Isolator Defect,Preventive,2,63,0,4.0,38,48,C18,2026-08-31,41.7,Medium
M-000184,S&-0131,S&T,Signal,Interlocking Fault,Preventive,1,91,19,3.0,20,55,C08,2026-08-31,57.8,Medium
M-000185,S&-0028,S&T,Track Circuit,Track Circuit Fault,Overdue,3,71,10,4.0,39,60,C02,2026-08-30,57.6,Medium
M-000186,S&-0010,S&T,Signal,Point Machine Degradation,Preventive,2,51,0,4.0,39,35,C12,2026-08-26,36.35,Low
M-000187,EN-0069,Engineering,Track,Rail Wear,Preventive,1,40,10,3.0,21,18,C08,2026-08-31,30.4,Low
M-000188,TR-0098,Traction,OHE,Isolator Defect,Corrective,2,73,0,1.5,26,45,C05,2026-08-28,41.85,Medium
M-000189,EN-0144,Engineering,Ballast,Rail Crack,Overdue,3,34,16,0.5,48,31,C06,2026-08-26,48.45,Medium
M-000190,TR-0075,Traction,Feeder,Feeder Inspection Overdue,Corrective,1,38,10,4.0,27,28,C11,2026-08-27,32.5,Low
M-000191,EN-0058,Engineering,Sleeper,Rail Wear,Preventive,4,33,7,4.0,69,40,C05,2026-08-31,50.95,Medium
M-000192,TR-0087,Traction,Isolator,Insulator Defect,Preventive,4,94,14,1.0,82,72,C16,2026-08-27,81.9,Critical
M-000193,EN-0094,Engineering,Ballast,Rail Crack,Inspection,3,57,0,1.0,38,56,C19,2026-08-31,45.1,Medium
M-000194,EN-0144,Engineering,Ballast,Rail Crack,Inspection,2,30,5,1.5,44,27,C06,2026-08-29,33.6,Low
M-000195,EN-0012,Engineering,Sleeper,Rail Wear,Overdue,3,73,12,3.0,54,72,C20,2026-08-31,64.5,High
M-000196,TR-0047,Traction,Insulator,Isolator Defect,Overdue,4,71,21,2.0,76,93,C11,2026-08-25,81.45,Critical
M-000197,TR-0048,Traction,Insulator,Feeder Inspection Overdue,Inspection,2,78,11,0.5,30,64,C17,2026-08-25,55.25,Medium
M-000198,S&-0112,S&T,Track Circuit,Interlocking Fault,Overdue,5,41,0,0.5,94,59,C13,2026-08-25,59.95,Medium
M-000199,TR-0039,Traction,Insulator,Isolator Defect,Preventive,3,75,13,0.5,45,55,C18,2026-08-30,61.5,High
M-000200,EN-0155,Engineering,Track,Ballast Defect,Inspection,5,54,9,3.0,94,59,C19,2026-08-25,70.6,High
M-000201,S&-0133,S&T,Point Machine,Track Circuit Fault,Inspection,4,78,4,1.0,65,78,C13,2026-08-28,67.1,High
M-000202,S&-0103,S&T,Point Machine,Point Machine Degradation,Inspection,4,87,20,4.0,80,72,C18,2026-08-28,83.9,Critical
M-000203,TR-0032,Traction,OHE,OHE Wear,Corrective,3,68,4,0.5,63,56,C18,2026-08-26,56.4,Medium
M-000204,TR-0104,Traction,Insulator,Feeder Inspection Overdue,Preventive,3,89,11,3.0,50,76,C11,2026-08-28,68.35,High
M-000205,TR-0030,Traction,Insulator,Isolator Defect,Overdue,2,86,0,0.5,42,57,C10,2026-08-26,50.75,Medium
M-000206,TR-0051,Traction,OHE,OHE Wear,Overdue,4,49,2,0.5,75,51,C18,2026-08-27,54.85,Medium
M-000207,S&-0067,S&T,Signal,Interlocking Fault,Preventive,3,55,18,1.5,51,45,C16,2026-08-30,58.95,Medium
M-000208,S&-0050,S&T,Track Circuit,Point Machine Degradation,Inspection,1,63,4,4.0,13,41,C18,2026-08-31,34.65,Low
M-000209,TR-0021,Traction,Feeder,Feeder Inspection Overdue,Inspection,1,57,24,3.0,20,38,C19,2026-08-30,45.8,Medium
M-000210,TR-0110,Traction,Isolator,Isolator Defect,Inspection,3,89,9,3.0,58,65,C06,2026-08-29,66.8,High
M-000211,EN-0108,Engineering,Rail,Track Geometry Deviation,Preventive,2,75,2,2.0,36,47,C09,2026-08-25,46.25,Medium
